Index, plane_x, plane_y, Heading, airport_x, airport_y
1,2,5,E,15,10
2,3,5,E,15,10
3,4,5,E,15,10
4,5,5,E,15,10
5,6,5,E,15,10
6,7,5,E,15,10
7,6,5,W,15,10
8,7,5,E,15,10
9,8,5,E,15,10
10,9,5,E,15,10
11,9,6,S,15,10
12,8,6,W,15,10
13,7,6,W,15,10
14,6,6,W,15,10
15,5,6,W,15,10
16,4,6,W,15,10
17,3,6,W,15,10
18,4,6,E,15,10
19,5,6,E,15,10
20,4,6,W,15,10
21,5,6,E,15,10
22,6,6,E,15,10
23,7,6,E,15,10
24,6,6,W,15,10
25,7,6,E,15,10
26,6,6,W,15,10
27,5,6,W,15,10
28,4,6,W,15,10
29,3,6,W,15,10
30,2,6,W,15,10
31,3,6,E,15,10
32,2,6,W,15,10
33,3,6,E,15,10
34,3,7,S,15,10
35,4,7,E,15,10
36,5,7,E,15,10
37,6,7,E,15,10
38,7,7,E,15,10
39,8,7,E,15,10
40,9,7,E,15,10
41,10,7,E,15,10
42,11,7,E,15,10
43,11,8,S,15,10
44,11,9,S,15,10
45,12,9,E,15,10
46,13,9,E,15,10
47,14,9,E,15,10
48,15,9,E,15,10
49,15,10,S,15,10
